,24,36,48,60,72
2-6-22,2-6-22,2-6-22,2-6-22,2-6-22,2-6-22
2-6-24,2-6-24,2-6-24,2-6-24,2-6-24,2-6-24
2-7-6,2-7-6,2-7-6,2-7-6,2-7-6,2-7-6
2-7-8,2-7-8,2-7-8,2-7-8,2-7-8,2-7-8
2-7-10,2-7-10,2-7-10,2-7-10,2-7-10,2-7-10
2-7-12,2-7-12,2-7-12,2-7-12,2-7-12,2-7-12
2-7-14,2-7-14,2-7-14,2-7-14,2-7-14,2-7-14
2-7-16,2-7-16,2-7-16,2-7-16,2-7-16,2-7-16
2-7-18,2-7-18,2-7-18,2-7-18,2-7-18,2-7-18
2-7-20,2-7-20,2-7-20,2-7-20,2-7-20,2-7-20
2-7-22,2-7-22,2-7-22,2-7-22,2-7-22,2-7-22
2-7-24,2-7-24,2-7-24,2-7-24,2-7-24,2-7-24
2-8-6,2-8-6,2-8-6,2-8-6,2-8-6,2-8-6
2-8-8,2-8-8,2-8-8,2-8-8,2-8-8,2-8-8
2-8-10,2-8-10,2-8-10,2-8-10,2-8-10,2-8-10
2-8-12,2-8-12,2-8-12,2-8-12,2-8-12,2-8-12
2-8-14,2-8-14,2-8-14,2-8-14,2-8-14,2-8-14
2-8-16,2-8-16,2-8-16,2-8-16,2-8-16,2-8-16
2-8-18,2-8-18,2-8-18,2-8-18,2-8-18,2-8-18
2-8-20,2-8-20,2-8-20,2-8-20,2-8-20,2-8-20
2-8-22,2-8-22,2-8-22,2-8-22,2-8-22,2-8-22
2-8-24,2-8-24,2-8-24,2-8-24,2-8-24,2-8-24
2-9-6,2-9-6,2-9-6,2-9-6,2-9-6,2-9-6
2-9-8,2-9-8,2-9-8,2-9-8,2-9-8,2-9-8
2-9-10,2-9-10,2-9-10,2-9-10,2-9-10,2-9-10
2-9-12,2-9-12,2-9-12,2-9-12,2-9-12,2-9-12
2-9-14,2-9-14,2-9-14,2-9-14,2-9-14,2-9-14
2-9-16,2-9-16,2-9-16,2-9-16,2-9-16,2-9-16
2-9-18,2-9-18,2-9-18,2-9-18,2-9-18,2-9-18
2-9-20,2-9-20,2-9-20,2-9-20,2-9-20,2-9-20
2-9-22,2-9-22,2-9-22,2-9-22,2-9-22,2-9-22
2-9-24,2-9-24,2-9-24,2-9-24,2-9-24,2-9-24
2-10-6,2-10-6,2-10-6,2-10-6,2-10-6,2-10-6
2-10-8,2-10-8,2-10-8,2-10-8,2-10-8,2-10-8
2-10-10,2-10-10,2-10-10,2-10-10,2-10-10,2-10-10
2-10-12,2-10-12,2-10-12,2-10-12,2-10-12,2-10-12
2-10-14,2-10-14,2-10-14,2-10-14,2-10-14,2-10-14
2-10-16,2-10-16,2-10-16,2-10-16,2-10-16,2-10-16
2-10-18,2-10-18,2-10-18,2-10-18,2-10-18,2-10-18
2-10-20,2-10-20,2-10-20,2-10-20,2-10-20,2-10-20
2-10-22,2-10-22,2-10-22,2-10-22,2-10-22,2-10-22
2-10-24,2-10-24,2-10-24,2-10-24,2-10-24,2-10-24
3-2-6,3-2-6,3-2-6,3-2-6,3-2-6,3-2-6
3-2-8,3-2-8,3-2-8,3-2-8,3-2-8,3-2-8
3-2-10,3-2-10,3-2-10,3-2-10,3-2-10,3-2-10
3-2-12,3-2-12,3-2-12,3-2-12,3-2-12,3-2-12
3-2-14,3-2-14,3-2-14,3-2-14,3-2-14,3-2-14
3-2-16,3-2-16,3-2-16,3-2-16,3-2-16,3-2-16
3-2-18,3-2-18,3-2-18,3-2-18,3-2-18,3-2-18
3-2-20,3-2-20,3-2-20,3-2-20,3-2-20,3-2-20
3-2-22,3-2-22,3-2-22,3-2-22,3-2-22,3-2-22
3-2-24,3-2-24,3-2-24,3-2-24,3-2-24,3-2-24
3-3-6,3-3-6,3-3-6,3-3-6,3-3-6,3-3-6
3-3-8,3-3-8,3-3-8,3-3-8,3-3-8,3-3-8
3-3-10,3-3-10,3-3-10,3-3-10,3-3-10,3-3-10
3-3-12,3-3-12,3-3-12,3-3-12,3-3-12,3-3-12
3-3-14,3-3-14,3-3-14,3-3-14,3-3-14,3-3-14
3-3-16,3-3-16,3-3-16,3-3-16,3-3-16,3-3-16
3-3-18,3-3-18,3-3-18,3-3-18,3-3-18,3-3-18
3-3-20,3-3-20,3-3-20,3-3-20,3-3-20,3-3-20
3-3-22,3-3-22,3-3-22,3-3-22,3-3-22,3-3-22
3-3-24,3-3-24,3-3-24,3-3-24,3-3-24,3-3-24
3-4-6,3-4-6,3-4-6,3-4-6,3-4-6,3-4-6
3-4-8,3-4-8,3-4-8,3-4-8,3-4-8,3-4-8
3-4-10,3-4-10,3-4-10,3-4-10,3-4-10,3-4-10
3-4-12,3-4-12,3-4-12,3-4-12,3-4-12,3-4-12
3-4-14,3-4-14,3-4-14,3-4-14,3-4-14,3-4-14
3-4-16,3-4-16,3-4-16,3-4-16,3-4-16,3-4-16
3-4-18,3-4-18,3-4-18,3-4-18,3-4-18,3-4-18
3-4-20,3-4-20,3-4-20,3-4-20,3-4-20,3-4-20
3-4-22,3-4-22,3-4-22,3-4-22,3-4-22,3-4-22
3-4-24,3-4-24,3-4-24,3-4-24,3-4-24,3-4-24
3-5-6,3-5-6,3-5-6,3-5-6,3-5-6,3-5-6
3-5-8,3-5-8,3-5-8,3-5-8,3-5-8,3-5-8
3-5-10,3-5-10,3-5-10,3-5-10,3-5-10,3-5-10
3-5-12,3-5-12,3-5-12,3-5-12,3-5-12,3-5-12
3-5-14,3-5-14,3-5-14,3-5-14,3-5-14,3-5-14
3-5-16,3-5-16,3-5-16,3-5-16,3-5-16,3-5-16
3-5-18,3-5-18,3-5-18,3-5-18,3-5-18,3-5-18
3-5-20,3-5-20,3-5-20,3-5-20,3-5-20,3-5-20
3-5-22,3-5-22,3-5-22,3-5-22,3-5-22,3-5-22
3-5-24,3-5-24,3-5-24,3-5-24,3-5-24,3-5-24
3-6-6,3-6-6,3-6-6,3-6-6,3-6-6,3-6-6
3-6-8,3-6-8,3-6-8,3-6-8,3-6-8,3-6-8
3-6-10,3-6-10,3-6-10,3-6-10,3-6-10,3-6-10
3-6-12,3-6-12,3-6-12,3-6-12,3-6-12,3-6-12
3-6-14,3-6-14,3-6-14,3-6-14,3-6-14,3-6-14
3-6-16,3-6-16,3-6-16,3-6-16,3-6-16,3-6-16
3-6-18,3-6-18,3-6-18,3-6-18,3-6-18,3-6-18
3-6-20,3-6-20,3-6-20,3-6-20,3-6-20,3-6-20
3-6-22,3-6-22,3-6-22,3-6-22,3-6-22,3-6-22
3-6-24,3-6-24,3-6-24,3-6-24,3-6-24,3-6-24
3-7-6,3-7-6,3-7-6,3-7-6,3-7-6,3-7-6
3-7-8,3-7-8,3-7-8,3-7-8,3-7-8,3-7-8
3-7-10,3-7-10,3-7-10,3-7-10,3-7-10,3-7-10
3-7-12,3-7-12,3-7-12,3-7-12,3-7-12,3-7-12
3-7-14,3-7-14,3-7-14,3-7-14,3-7-14,3-7-14
3-7-16,3-7-16,3-7-16,3-7-16,3-7-16,3-7-16
3-7-18,3-7-18,3-7-18,3-7-18,3-7-18,3-7-18
3-7-20,3-7-20,3-7-20,3-7-20,3-7-20,3-7-20
3-7-22,3-7-22,3-7-22,3-7-22,3-7-22,3-7-22
3-7-24,3-7-24,3-7-24,3-7-24,3-7-24,3-7-24
3-8-6,3-8-6,3-8-6,3-8-6,3-8-6,3-8-6
3-8-8,3-8-8,3-8-8,3-8-8,3-8-8,3-8-8
3-8-10,3-8-10,3-8-10,3-8-10,3-8-10,3-8-10
3-8-12,3-8-12,3-8-12,3-8-12,3-8-12,3-8-12
3-8-14,3-8-14,3-8-14,3-8-14,3-8-14,3-8-14
3-8-16,3-8-16,3-8-16,3-8-16,3-8-16,3-8-16
3-8-18,3-8-18,3-8-18,3-8-18,3-8-18,3-8-18
3-8-20,3-8-20,3-8-20,3-8-20,3-8-20,3-8-20
3-8-22,3-8-22,3-8-22,3-8-22,3-8-22,3-8-22
3-8-24,3-8-24,3-8-24,3-8-24,3-8-24,3-8-24
3-9-6,3-9-6,3-9-6,3-9-6,3-9-6,3-9-6
3-9-8,3-9-8,3-9-8,3-9-8,3-9-8,3-9-8
3-9-10,3-9-10,3-9-10,3-9-10,3-9-10,3-9-10
3-9-12,3-9-12,3-9-12,3-9-12,3-9-12,3-9-12
3-9-14,3-9-14,3-9-14,3-9-14,3-9-14,3-9-14
3-9-16,3-9-16,3-9-16,3-9-16,3-9-16,3-9-16
3-9-18,3-9-18,3-9-18,3-9-18,3-9-18,3-9-18
3-9-20,3-9-20,3-9-20,3-9-20,3-9-20,3-9-20
3-9-22,3-9-22,3-9-22,3-9-22,3-9-22,3-9-22
3-9-24,3-9-24,3-9-24,3-9-24,3-9-24,3-9-24
3-10-6,3-10-6,3-10-6,3-10-6,3-10-6,3-10-6
3-10-8,3-10-8,3-10-8,3-10-8,3-10-8,3-10-8
3-10-10,3-10-10,3-10-10,3-10-10,3-10-10,3-10-10
3-10-12,3-10-12,3-10-12,3-10-12,3-10-12,3-10-12
3-10-14,3-10-14,3-10-14,3-10-14,3-10-14,3-10-14
3-10-16,3-10-16,3-10-16,3-10-16,3-10-16,3-10-16
3-10-18,3-10-18,3-10-18,3-10-18,3-10-18,3-10-18
3-10-20,3-10-20,3-10-20,3-10-20,3-10-20,3-10-20
3-10-22,3-10-22,3-10-22,3-10-22,3-10-22,3-10-22
3-10-24,3-10-24,3-10-24,3-10-24,3-10-24,3-10-24
4-2-6,4-2-6,4-2-6,4-2-6,4-2-6,4-2-6
4-2-8,4-2-8,4-2-8,4-2-8,4-2-8,4-2-8
4-2-10,4-2-10,4-2-10,4-2-10,4-2-10,4-2-10
4-2-12,4-2-12,4-2-12,4-2-12,4-2-12,4-2-12
4-2-14,4-2-14,4-2-14,4-2-14,4-2-14,4-2-14
4-2-16,4-2-16,4-2-16,4-2-16,4-2-16,4-2-16
4-2-18,4-2-18,4-2-18,4-2-18,4-2-18,4-2-18
4-2-20,4-2-20,4-2-20,4-2-20,4-2-20,4-2-20
4-2-22,4-2-22,4-2-22,4-2-22,4-2-22,4-2-22
4-2-24,4-2-24,4-2-24,4-2-24,4-2-24,4-2-24
4-3-6,4-3-6,4-3-6,4-3-6,4-3-6,4-3-6
4-3-8,4-3-8,4-3-8,4-3-8,4-3-8,4-3-8
4-3-10,4-3-10,4-3-10,4-3-10,4-3-10,4-3-10
4-3-12,4-3-12,4-3-12,4-3-12,4-3-12,4-3-12
4-3-14,4-3-14,4-3-14,4-3-14,4-3-14,4-3-14
4-3-16,4-3-16,4-3-16,4-3-16,4-3-16,4-3-16
4-3-18,4-3-18,4-3-18,4-3-18,4-3-18,4-3-18
4-3-20,4-3-20,4-3-20,4-3-20,4-3-20,4-3-20
4-3-22,4-3-22,4-3-22,4-3-22,4-3-22,4-3-22
4-3-24,4-3-24,4-3-24,4-3-24,4-3-24,4-3-24
4-4-6,4-4-6,4-4-6,4-4-6,4-4-6,4-4-6
4-4-8,4-4-8,4-4-8,4-4-8,4-4-8,4-4-8
4-4-10,4-4-10,4-4-10,4-4-10,4-4-10,4-4-10
4-4-12,4-4-12,4-4-12,4-4-12,4-4-12,4-4-12
4-4-14,4-4-14,4-4-14,4-4-14,4-4-14,4-4-14
4-4-16,4-4-16,4-4-16,4-4-16,4-4-16,4-4-16
4-4-18,4-4-18,4-4-18,4-4-18,4-4-18,4-4-18
4-4-20,4-4-20,4-4-20,4-4-20,4-4-20,4-4-20
4-4-22,4-4-22,4-4-22,4-4-22,4-4-22,4-4-22
4-4-24,4-4-24,4-4-24,4-4-24,4-4-24,4-4-24
4-5-6,4-5-6,4-5-6,4-5-6,4-5-6,4-5-6
4-5-8,4-5-8,4-5-8,4-5-8,4-5-8,4-5-8
4-5-10,4-5-10,4-5-10,4-5-10,4-5-10,4-5-10
4-5-12,4-5-12,4-5-12,4-5-12,4-5-12,4-5-12
4-5-14,4-5-14,4-5-14,4-5-14,4-5-14,4-5-14
4-5-16,4-5-16,4-5-16,4-5-16,4-5-16,4-5-16
4-5-18,4-5-18,4-5-18,4-5-18,4-5-18,4-5-18
4-5-20,4-5-20,4-5-20,4-5-20,4-5-20,4-5-20
4-5-22,4-5-22,4-5-22,4-5-22,4-5-22,4-5-22
4-5-24,4-5-24,4-5-24,4-5-24,4-5-24,4-5-24
4-6-6,4-6-6,4-6-6,4-6-6,4-6-6,4-6-6
4-6-8,4-6-8,4-6-8,4-6-8,4-6-8,4-6-8
4-6-10,4-6-10,4-6-10,4-6-10,4-6-10,4-6-10
4-6-12,4-6-12,4-6-12,4-6-12,4-6-12,4-6-12
4-6-14,4-6-14,4-6-14,4-6-14,4-6-14,4-6-14
4-6-16,4-6-16,4-6-16,4-6-16,4-6-16,4-6-16
4-6-18,4-6-18,4-6-18,4-6-18,4-6-18,4-6-18
4-6-20,4-6-20,4-6-20,4-6-20,4-6-20,4-6-20
4-6-22,4-6-22,4-6-22,4-6-22,4-6-22,4-6-22
4-6-24,4-6-24,4-6-24,4-6-24,4-6-24,4-6-24
4-7-6,4-7-6,4-7-6,4-7-6,4-7-6,4-7-6
4-7-8,4-7-8,4-7-8,4-7-8,4-7-8,4-7-8
4-7-10,4-7-10,4-7-10,4-7-10,4-7-10,4-7-10
4-7-12,4-7-12,4-7-12,4-7-12,4-7-12,4-7-12
4-7-14,4-7-14,4-7-14,4-7-14,4-7-14,4-7-14
4-7-16,4-7-16,4-7-16,4-7-16,4-7-16,4-7-16
4-7-18,4-7-18,4-7-18,4-7-18,4-7-18,4-7-18
4-7-20,4-7-20,4-7-20,4-7-20,4-7-20,4-7-20
4-7-22,4-7-22,4-7-22,4-7-22,4-7-22,4-7-22
4-7-24,4-7-24,4-7-24,4-7-24,4-7-24,4-7-24
4-8-6,4-8-6,4-8-6,4-8-6,4-8-6,4-8-6
4-8-8,4-8-8,4-8-8,4-8-8,4-8-8,4-8-8
4-8-10,4-8-10,4-8-10,4-8-10,4-8-10,4-8-10
4-8-12,4-8-12,4-8-12,4-8-12,4-8-12,4-8-12
4-8-14,4-8-14,4-8-14,4-8-14,4-8-14,4-8-14
4-8-16,4-8-16,4-8-16,4-8-16,4-8-16,4-8-16
4-8-18,4-8-18,4-8-18,4-8-18,4-8-18,4-8-18
4-8-20,4-8-20,4-8-20,4-8-20,4-8-20,4-8-20
4-8-22,4-8-22,4-8-22,4-8-22,4-8-22,4-8-22
4-8-24,4-8-24,4-8-24,4-8-24,4-8-24,4-8-24
4-9-6,4-9-6,4-9-6,4-9-6,4-9-6,4-9-6
4-9-8,4-9-8,4-9-8,4-9-8,4-9-8,4-9-8
4-9-10,4-9-10,4-9-10,4-9-10,4-9-10,4-9-10
4-9-12,4-9-12,4-9-12,4-9-12,4-9-12,4-9-12
4-9-14,4-9-14,4-9-14,4-9-14,4-9-14,4-9-14
4-9-16,4-9-16,4-9-16,4-9-16,4-9-16,4-9-16
4-9-18,4-9-18,4-9-18,4-9-18,4-9-18,4-9-18
4-9-20,4-9-20,4-9-20,4-9-20,4-9-20,4-9-20
4-9-22,4-9-22,4-9-22,4-9-22,4-9-22,4-9-22
4-9-24,4-9-24,4-9-24,4-9-24,4-9-24,4-9-24
4-10-6,4-10-6,4-10-6,4-10-6,4-10-6,4-10-6
4-10-8,4-10-8,4-10-8,4-10-8,4-10-8,4-10-8
4-10-10,4-10-10,4-10-10,4-10-10,4-10-10,4-10-10
4-10-12,4-10-12,4-10-12,4-10-12,4-10-12,4-10-12
4-10-14,4-10-14,4-10-14,4-10-14,4-10-14,4-10-14
4-10-16,4-10-16,4-10-16,4-10-16,4-10-16,4-10-16
4-10-18,4-10-18,4-10-18,4-10-18,4-10-18,4-10-18
4-10-20,4-10-20,4-10-20,4-10-20,4-10-20,4-10-20
4-10-22,4-10-22,4-10-22,4-10-22,4-10-22,4-10-22
4-10-24,4-10-24,4-10-24,4-10-24,4-10-24,4-10-24
5-2-6,5-2-6,5-2-6,5-2-6,5-2-6,5-2-6
5-2-8,5-2-8,5-2-8,5-2-8,5-2-8,5-2-8
5-2-10,5-2-10,5-2-10,5-2-10,5-2-10,5-2-10
5-2-12,5-2-12,5-2-12,5-2-12,5-2-12,5-2-12
5-2-14,5-2-14,5-2-14,5-2-14,5-2-14,5-2-14
5-2-16,5-2-16,5-2-16,5-2-16,5-2-16,5-2-16
5-2-18,5-2-18,5-2-18,5-2-18,5-2-18,5-2-18
5-2-20,5-2-20,5-2-20,5-2-20,5-2-20,5-2-20
5-2-22,5-2-22,5-2-22,5-2-22,5-2-22,5-2-22
5-2-24,5-2-24,5-2-24,5-2-24,5-2-24,5-2-24
5-3-6,5-3-6,5-3-6,5-3-6,5-3-6,5-3-6
5-3-8,5-3-8,5-3-8,5-3-8,5-3-8,5-3-8
5-3-10,5-3-10,5-3-10,5-3-10,5-3-10,5-3-10
5-3-12,5-3-12,5-3-12,5-3-12,5-3-12,5-3-12
5-3-14,5-3-14,5-3-14,5-3-14,5-3-14,5-3-14
5-3-16,5-3-16,5-3-16,5-3-16,5-3-16,5-3-16
5-3-18,5-3-18,5-3-18,5-3-18,5-3-18,5-3-18
5-3-20,5-3-20,5-3-20,5-3-20,5-3-20,5-3-20
5-3-22,5-3-22,5-3-22,5-3-22,5-3-22,5-3-22
5-3-24,5-3-24,5-3-24,5-3-24,5-3-24,5-3-24
5-4-6,5-4-6,5-4-6,5-4-6,5-4-6,5-4-6
5-4-8,5-4-8,5-4-8,5-4-8,5-4-8,5-4-8
5-4-10,5-4-10,5-4-10,5-4-10,5-4-10,5-4-10
5-4-12,5-4-12,5-4-12,5-4-12,5-4-12,5-4-12
5-4-14,5-4-14,5-4-14,5-4-14,5-4-14,5-4-14
5-4-16,5-4-16,5-4-16,5-4-16,5-4-16,5-4-16
5-4-18,5-4-18,5-4-18,5-4-18,5-4-18,5-4-18
5-4-20,5-4-20,5-4-20,5-4-20,5-4-20,5-4-20
5-4-22,5-4-22,5-4-22,5-4-22,5-4-22,5-4-22
5-4-24,5-4-24,5-4-24,5-4-24,5-4-24,5-4-24
5-5-6,5-5-6,5-5-6,5-5-6,5-5-6,5-5-6
5-5-8,5-5-8,5-5-8,5-5-8,5-5-8,5-5-8
5-5-10,5-5-10,5-5-10,5-5-10,5-5-10,5-5-10
5-5-12,5-5-12,5-5-12,5-5-12,5-5-12,5-5-12
5-5-14,5-5-14,5-5-14,5-5-14,5-5-14,5-5-14
5-5-16,5-5-16,5-5-16,5-5-16,5-5-16,5-5-16
5-5-18,5-5-18,5-5-18,5-5-18,5-5-18,5-5-18
5-5-20,5-5-20,5-5-20,5-5-20,5-5-20,5-5-20
5-5-22,5-5-22,5-5-22,5-5-22,5-5-22,5-5-22
5-5-24,5-5-24,5-5-24,5-5-24,5-5-24,5-5-24
5-6-6,5-6-6,5-6-6,5-6-6,5-6-6,5-6-6
5-6-8,5-6-8,5-6-8,5-6-8,5-6-8,5-6-8
5-6-10,5-6-10,5-6-10,5-6-10,5-6-10,5-6-10
5-6-12,5-6-12,5-6-12,5-6-12,5-6-12,5-6-12
5-6-14,5-6-14,5-6-14,5-6-14,5-6-14,5-6-14
5-6-16,5-6-16,5-6-16,5-6-16,5-6-16,5-6-16
5-6-18,5-6-18,5-6-18,5-6-18,5-6-18,5-6-18
5-6-20,5-6-20,5-6-20,5-6-20,5-6-20,5-6-20
5-6-22,5-6-22,5-6-22,5-6-22,5-6-22,5-6-22
5-6-24,5-6-24,5-6-24,5-6-24,5-6-24,5-6-24
5-7-6,5-7-6,5-7-6,5-7-6,5-7-6,5-7-6
5-7-8,5-7-8,5-7-8,5-7-8,5-7-8,5-7-8
5-7-10,5-7-10,5-7-10,5-7-10,5-7-10,5-7-10
5-7-12,5-7-12,5-7-12,5-7-12,5-7-12,5-7-12
5-7-14,5-7-14,5-7-14,5-7-14,5-7-14,5-7-14
5-7-16,5-7-16,5-7-16,5-7-16,5-7-16,5-7-16
5-7-18,5-7-18,5-7-18,5-7-18,5-7-18,5-7-18
5-7-20,5-7-20,5-7-20,5-7-20,5-7-20,5-7-20
5-7-22,5-7-22,5-7-22,5-7-22,5-7-22,5-7-22
5-7-24,5-7-24,5-7-24,5-7-24,5-7-24,5-7-24
5-8-6,5-8-6,5-8-6,5-8-6,5-8-6,5-8-6
5-8-8,5-8-8,5-8-8,5-8-8,5-8-8,5-8-8
5-8-10,5-8-10,5-8-10,5-8-10,5-8-10,5-8-10
5-8-12,5-8-12,5-8-12,5-8-12,5-8-12,5-8-12
5-8-14,5-8-14,5-8-14,5-8-14,5-8-14,5-8-14
5-8-16,5-8-16,5-8-16,5-8-16,5-8-16,5-8-16
5-8-18,5-8-18,5-8-18,5-8-18,5-8-18,5-8-18
5-8-20,5-8-20,5-8-20,5-8-20,5-8-20,5-8-20
5-8-22,5-8-22,5-8-22,5-8-22,5-8-22,5-8-22
5-8-24,5-8-24,5-8-24,5-8-24,5-8-24,5-8-24
5-9-6,5-9-6,5-9-6,5-9-6,5-9-6,5-9-6
5-9-8,5-9-8,5-9-8,5-9-8,5-9-8,5-9-8
5-9-10,5-9-10,5-9-10,5-9-10,5-9-10,5-9-10
5-9-12,5-9-12,5-9-12,5-9-12,5-9-12,5-9-12
5-9-14,5-9-14,5-9-14,5-9-14,5-9-14,5-9-14
5-9-16,5-9-16,5-9-16,5-9-16,5-9-16,5-9-16
5-9-18,5-9-18,5-9-18,5-9-18,5-9-18,5-9-18
5-9-20,5-9-20,5-9-20,5-9-20,5-9-20,5-9-20
5-9-22,5-9-22,5-9-22,5-9-22,5-9-22,5-9-22
5-9-24,5-9-24,5-9-24,5-9-24,5-9-24,5-9-24
5-10-6,5-10-6,5-10-6,5-10-6,5-10-6,5-10-6
5-10-8,5-10-8,5-10-8,5-10-8,5-10-8,5-10-8
5-10-10,5-10-10,5-10-10,5-10-10,5-10-10,5-10-10
5-10-12,5-10-12,5-10-12,5-10-12,5-10-12,5-10-12
5-10-14,5-10-14,5-10-14,5-10-14,5-10-14,5-10-14
5-10-16,5-10-16,5-10-16,5-10-16,5-10-16,5-10-16
5-10-18,5-10-18,5-10-18,5-10-18,5-10-18,5-10-18
5-10-20,5-10-20,5-10-20,5-10-20,5-10-20,5-10-20
5-10-22,5-10-22,5-10-22,5-10-22,5-10-22,5-10-22
5-10-24,5-10-24,5-10-24,5-10-24,5-10-24,5-10-24
6-2-6,6-2-6,6-2-6,6-2-6,6-2-6,6-2-6
6-2-8,6-2-8,6-2-8,6-2-8,6-2-8,6-2-8
6-2-10,6-2-10,6-2-10,6-2-10,6-2-10,6-2-10
6-2-12,6-2-12,6-2-12,6-2-12,6-2-12,6-2-12
6-2-14,6-2-14,6-2-14,6-2-14,6-2-14,6-2-14
6-2-16,6-2-16,6-2-16,6-2-16,6-2-16,6-2-16
6-2-18,6-2-18,6-2-18,6-2-18,6-2-18,6-2-18
6-2-20,6-2-20,6-2-20,6-2-20,6-2-20,6-2-20
6-2-22,6-2-22,6-2-22,6-2-22,6-2-22,6-2-22
6-2-24,6-2-24,6-2-24,6-2-24,6-2-24,6-2-24
6-3-6,6-3-6,6-3-6,6-3-6,6-3-6,6-3-6
6-3-8,6-3-8,6-3-8,6-3-8,6-3-8,6-3-8
6-3-10,6-3-10,6-3-10,6-3-10,6-3-10,6-3-10
6-3-12,6-3-12,6-3-12,6-3-12,6-3-12,6-3-12
6-3-14,6-3-14,6-3-14,6-3-14,6-3-14,6-3-14
6-3-16,6-3-16,6-3-16,6-3-16,6-3-16,6-3-16
6-3-18,6-3-18,6-3-18,6-3-18,6-3-18,6-3-18
6-3-20,6-3-20,6-3-20,6-3-20,6-3-20,6-3-20
6-3-22,6-3-22,6-3-22,6-3-22,6-3-22,6-3-22
6-3-24,6-3-24,6-3-24,6-3-24,6-3-24,6-3-24
6-4-6,6-4-6,6-4-6,6-4-6,6-4-6,6-4-6
6-4-8,6-4-8,6-4-8,6-4-8,6-4-8,6-4-8
6-4-10,6-4-10,6-4-10,6-4-10,6-4-10,6-4-10
6-4-12,6-4-12,6-4-12,6-4-12,6-4-12,6-4-12
6-4-14,6-4-14,6-4-14,6-4-14,6-4-14,6-4-14
6-4-16,6-4-16,6-4-16,6-4-16,6-4-16,6-4-16
6-4-18,6-4-18,6-4-18,6-4-18,6-4-18,6-4-18
6-4-20,6-4-20,6-4-20,6-4-20,6-4-20,6-4-20
